site_name,site_lat,site_lon,forecast_risk,dominant_category,wildfire_weather_risk,wildfire_historical,wildfire_combined,wildfire_reason,storm_weather_risk,storm_historical,storm_combined,storm_reason,flood_weather_risk,flood_historical,flood_combined,flood_reason,total_events,risk_level
Lima,-12.0464,-77.0428,0.012973333333333335,wildfire,0.016216666666666667,0.0,0.012973333333333335,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),0,LOW
Melbourne,-37.8136,144.9631,0.006659555555555557,wildfire,0.008324444444444445,0.0,0.006659555555555557,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),0,LOW
Tokyo,35.6762,139.6503,0.00394,storm,0.0,0.0,0.0,0 wildfires in Winter months (historical: 0 total),0.004925,0.0,0.00394,0 storms in Winter months (historical: 4 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),5,LOW
Mexico City,19.4326,-99.1332,0.0031544444444444424,wildfire,0.003943055555555553,0.0,0.0031544444444444424,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 1 total),0.0,0.0,0.0,0 floods in Winter months (historical: 2 total),3,LOW
Quito,-0.1807,-78.4678,0.0,wildfire,0.0,0.0,0.0,0 wildfires in Winter months (historical: 1 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),1,LOW
Anchorage,61.2181,-149.9003,0.0,wildfire,0.0,0.0,0.0,0 wildfires in Winter months (historical: 20 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),20,LOW
Hamburg,53.5511,9.9937,0.0,wildfire,0.0,0.0,0.0,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 1 total),1,LOW
Frankfurt,50.1109,8.6821,0.0,wildfire,0.0,0.0,0.0,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 5 total),5,LOW
München,48.1351,11.582,0.0,wildfire,0.0,0.0,0.0,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 3 total),3,LOW
Berlin,52.52,13.405,0.0,wildfire,0.0,0.0,0.0,0 wildfires in Winter months (historical: 0 total),0.0,0.0,0.0,0 storms in Winter months (historical: 0 total),0.0,0.0,0.0,0 floods in Winter months (historical: 0 total),0,LOW
