site_name,target_date,lat,lon,fires_7d_count,fires_30d_count,fire_max_brightness_7d,fire_avg_brightness_7d,fire_max_frp_7d,fire_avg_frp_7d,fires_persistent_days,days_since_last_fire,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,latitude,longitude,month,season,label,label_meta_detections,label_meta_max_brightness
Tampa,2025-05-12 00:00:00+00:00,27.9506,-82.4572,0,1,0.0,0.0,0.0,0.0,0,999,25.685714285714287,34.0,73.28571428571429,28,22.5,42.4,3,27.9506,-82.4572,5,1,1,3,348.3
Wellington,2025-06-23 00:00:00+00:00,-41.2865,174.7762,0,0,0.0,0.0,0.0,0.0,0,999,11.0,14.5,78.0,57,40.1,9.0,4,-41.2865,174.7762,6,2,0,0,0.0
Auckland,2025-08-11 00:00:00+00:00,-36.8485,174.7633,0,0,0.0,0.0,0.0,0.0,0,999,11.842857142857142,15.1,75.14285714285714,50,31.6,15.700000000000001,3,-36.8485,174.7633,8,2,0,0,0.0
Port-au-Prince,2025-09-08 00:00:00+00:00,18.5944,-72.3074,0,0,0.0,0.0,0.0,0.0,0,999,30.014285714285716,36.7,60.714285714285715,27,17.9,6.0,6,18.5944,-72.3074,9,3,0,0,0.0
Brisbane,2024-08-05 00:00:00+00:00,-27.4698,153.0251,0,0,0.0,0.0,0.0,0.0,0,999,12.928571428571429,22.1,63.285714285714285,26,22.3,0.0,7,-27.4698,153.0251,8,2,0,0,0.0
Frankfurt,2024-01-15 00:00:00+00:00,50.1109,8.6821,0,0,0.0,0.0,0.0,0.0,0,999,-2.0714285714285716,2.2,68.57142857142857,26,22.2,0.0,7,50.1109,8.6821,1,0,0,0,0.0
Denver,2024-05-06 00:00:00+00:00,39.7392,-104.9903,0,0,0.0,0.0,0.0,0.0,0,999,11.4,25.2,51.142857142857146,12,33.4,1.8,6,39.7392,-104.9903,5,1,0,0,0.0
Manila,2024-09-16 00:00:00+00:00,14.5995,120.9842,0,0,0.0,0.0,0.0,0.0,0,999,27.1,30.1,87.42857142857143,75,22.3,108.5,0,14.5995,120.9842,9,3,0,0,0.0
San Francisco,2025-02-03 00:00:00+00:00,37.7749,-122.4194,0,0,0.0,0.0,0.0,0.0,0,999,10.62857142857143,14.4,82.71428571428571,27,27.9,35.9,4,37.7749,-122.4194,2,0,0,0,0.0
Mexico City,2024-12-09 00:00:00+00:00,19.4326,-99.1332,0,7,0.0,0.0,0.0,0.0,0,999,16.157142857142855,24.8,54.142857142857146,10,16.1,0.1,7,19.4326,-99.1332,12,0,0,0,0.0
